Identifier,IdentityScore,EAScore,UWScore,Owner_Verified_Components,Owner_Negatively_Verified_Components,Owner_Phone_1_to_Name_Linkage,Owner_Phone_1_to_First_Name_Linkage,Owner_Address_to_Phone_1_Linkage,Owner_Email_to_Phone_1_Linkage,Owner_Prepaid_Phone_Attribute,Owner_Business_Phone_Indicator,Owner_Phone_InService_Indicator,Owner_Phone_Type_Indicator,Owner_Service_Discontinued_Indicator,Owner_Recent_Phone_Usage_Past_2_months,Owner_Phone_Usage_Past_12_months,Owner_Phone_Carrier,Owner_Parent_Phone_Carrier,Owner_Technology_Indicator,Owner_VoIP_Indicator,Owner_MVNO_Indicator,Fraud
1000034,496,291,1.381,2,8,2,-1,2,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000035,619,90,2.828,1,8,2,1,2,1,Y,B,A7,W,0,3,5,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000036,410,234,0.901,1,8,2,2,1,1,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000037,425,200,0.777,2,8,2,-1,2,-2,N,U,U,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000038,405,465,0.952,5,2,2,1,-1,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000039,347,84,0.516,2,8,2,-1,2,0,N,B,A7,W,0,1,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000040,436,81,1.005,1,8,2,1,2,-1,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000041,384,500,1.537,2,8,2,-2,-1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000042,732,255,7.738,7,8,0,0,-1,0,N,B,A1,U,0,0,0,,,,,,0
1000043,361,98,0.229,7,5,-1,-1,2,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000044,327,143,0.293,1,8,2,1,2,-1,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000045,433,186,0.566,2,8,2,-2,1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000046,395,208,0.497,7,5,-1,1,-1,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000047,407,904,3.354,2,5,2,-2,1,0,N,U,A7,W,7,1,3,Cingular Wireless,AT&T,Wireless,,N,0
1000048,383,94,0.15,2,8,2,1,2,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000049,687,83,3.489,5,8,2,1,-2,-2,N,C,A6,L,0,1,2,SBC IP,AT&T,Wireline,2,,0
1000050,585,246,7.608,2,8,2,-2,-1,0,N,U,A7,W,7,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,1
1000051,477,105,2.519,1,8,2,1,2,-1,N,U,A7,W,7,1,3,Cingular Wireless,AT&T,Wireless,,N,0
1000052,484,500,2.275,2,5,2,1,2,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000053,548,266,0.722,5,7,1,1,-1,0,N,B,A7,L,0,3,4,Comcast Phone,Comcast,Wireline,3,,0
1000054,623,98,3.233,7,5,-1,2,-1,0,N,U,I1,L,0,1,2,BANDWIDTH.COM,Bandwidth.com,Wireline,1,,0
1000055,483,95,0.716,7,3,-1,-1,-1,1,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000056,542,233,0.938,2,3,1,1,1,0,N,B,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000057,385,185,0.505,2,5,2,-1,2,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000058,409,790,2.311,2,8,2,1,2,-2,N,U,U,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000059,812,176,9.075,2,8,2,2,2,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000060,387,144,0.464,5,7,2,2,-1,-2,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000061,725,463,3.247,5,8,2,-2,-1,0,N,B,A5,W,0,2,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000062,564,455,1.722,8,5,-1,-1,0,-2,N,U,A3,L,0,0,2,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,0
1000063,337,87,0.482,5,8,1,-1,-1,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000064,436,500,2.263,7,5,-1,1,-1,0,N,B,A7,L,0,4,5,SBC IP,AT&T,Wireline,2,,0
1000065,413,142,0.499,2,8,2,1,2,-2,N,U,A7,W,7,2,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000066,555,904,9.687,7,8,0,0,-1,-2,N,U,A3,W,5,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000067,418,50,0.189,1,8,2,-1,2,1,N,B,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000068,397,500,1.052,5,7,2,1,-1,0,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000069,399,75,2.446,1,8,1,1,-1,1,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000070,515,500,2.772,5,5,2,2,0,-2,Y,U,A7,W,0,2,4,Metro PCS Comm - NSR,T-Mobile,Wireless,,N,0
1000071,451,67,0.861,1,8,2,1,2,-1,N,U,A7,W,2,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000072,491,229,0.767,2,5,2,1,1,-2,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000073,432,238,1.109,2,8,2,-2,-1,0,N,U,A7,W,0,1,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000074,320,83,0.892,1,8,2,1,2,0,N,B,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000075,475,500,3.262,8,8,0,0,0,0,N,U,A4,L,0,2,3,BANDWIDTH.COM,Bandwidth.com,Wireline,1,,0
1000076,562,75,0.521,2,6,2,-1,-1,0,N,B,A7,L,0,4,5,E. Ritter Communications,E. Ritter Communications,Wireline,3,,0
1000077,424,459,1.168,2,5,1,1,1,-2,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000078,465,78,2.537,1,8,2,-1,-1,1,N,B,A7,L,0,2,4,RCLEC- NSR,RingCentral,Wireline,2,,0
1000079,343,500,0.649,2,5,2,2,1,-2,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000080,359,50,0.362,1,8,1,1,2,1,N,U,A7,W,7,2,2,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000081,697,904,23.44,2,8,2,-2,-1,-2,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000082,450,500,2.711,2,8,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000083,526,483,2.984,5,8,2,1,-2,-2,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000084,501,240,1.23,2,8,2,1,2,-2,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000085,605,500,2.571,7,5,-1,1,-1,-2,N,U,A3,L,0,0,1,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,0
1000086,562,790,12.655,2,8,2,1,2,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000087,765,500,23.526,7,5,-1,-1,-1,0,Y,U,A1,W,0,1,4,Metro PCS Communications Inc,T-Mobile,Wireless,,N,0
1000088,464,265,0.917,7,5,-1,1,-1,-2,N,U,A7,W,7,1,2,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000089,696,208,3.297,2,5,1,-1,1,0,N,U,A7,W,7,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000090,447,500,0.725,2,8,1,-1,1,-2,N,U,I1,W,7,2,2,Cingular Wireless,AT&T,Wireless,,N,0
1000091,451,500,3.069,2,8,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000092,507,500,3.838,8,2,-1,-1,-1,0,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000093,423,146,0.976,2,8,2,-2,-1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000094,607,50,0.55,6,2,-1,-1,0,-1,N,U,I4,L,0,0,1,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,0
1000095,391,500,1.006,2,5,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000096,308,173,0.952,2,8,1,1,1,0,N,U,A5,W,2,1,2,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000097,312,96,0.307,1,5,2,-1,1,1,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000098,531,904,1.456,7,8,0,0,-1,0,N,U,A4,W,0,2,3,General Communications Inc-NSR,"GCI General Communications, Inc",Wireless,,N,0
1000099,474,50,0.426,2,6,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000100,391,904,1.491,2,8,2,2,1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,1
1000101,352,248,0.406,2,5,2,1,-1,0,N,U,A7,W,0,4,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000102,606,904,14.792,2,8,2,2,-1,-2,N,U,A7,W,7,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000103,422,500,2.476,7,5,-1,1,-1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000104,398,75,0.66,1,8,2,2,1,1,N,U,A6,W,0,1,3,Cingular Wireless,AT&T,Wireless,,N,0
1000105,456,500,1.691,5,6,2,1,-1,-1,N,U,A7,W,7,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000106,323,50,0.152,1,8,2,1,2,1,N,U,A7,W,0,3,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000107,783,196,2.509,7,3,-1,2,-1,-1,N,B,A7,L,0,4,5,Cox Communications,Cox,Wireline,3,,0
1000108,654,136,1.211,8,2,-1,-1,1,-2,N,U,U,L,0,3,4,NeutralTandem-NSR,Onvoy,Wireline,2,,0
1000109,545,248,2.801,2,8,2,1,-1,0,N,B,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000110,579,85,1.838,3,8,2,1,-2,-1,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000111,999,500,67.375,7,5,-1,2,-1,0,Y,U,A1,W,5,1,1,Sprint PCS,Sprint Nextel,Wireless,,N,1
1000112,380,81,0.773,1,8,2,1,2,1,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000113,439,30,1.968,2,5,2,2,1,0,N,U,A7,W,0,2,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000114,388,202,0.772,2,8,1,1,-1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000115,453,73,0.22,7,3,-1,2,1,1,N,B,A7,L,0,3,4,Qwest Communications,CenturyLink,Wireline,3,,0
1000116,413,58,0.635,7,5,-1,-1,1,0,N,B,I5,L,0,0,1,Frontier Rochester- SVR,Frontier Communications,Wireline,3,,0
1000117,489,84,0.569,2,8,2,-1,-1,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000118,493,50,0.097,7,3,-1,2,-1,-1,N,B,A7,L,0,3,4,Pacific Bell - Nevada Bell,AT&T,Wireline,3,,0
1000119,507,218,5.229,8,3,-1,-1,-1,0,N,U,A5,W,7,4,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000120,296,165,0.224,2,8,2,2,1,0,Y,U,A1,W,0,1,2,Metro PCS Comm - NSR,T-Mobile,Wireless,,N,0
1000121,574,121,4.062,2,8,2,1,2,-2,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000122,322,189,0.454,2,8,2,2,1,0,N,U,A7,W,0,1,2,Cingular Wireless,AT&T,Wireless,,N,0
1000123,364,118,0.659,7,5,-1,2,-1,-2,N,U,A7,W,0,1,3,Cingular Wireless,AT&T,Wireless,,N,0
1000124,588,138,2.08,7,5,-2,-2,-2,-2,,,,,NA,NA,NA,,,,,,0
1000125,471,495,2.39,7,5,-1,-1,-1,-2,N,B,A5,L,0,2,3,Frontier Rochester- SVR,Frontier Communications,Wireline,3,,0
1000126,533,275,1.39,2,8,1,1,-1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000127,517,500,21.258,8,5,-1,-1,-2,0,N,U,U,W,0,3,5,USCC - SVR,US Cellular,Wireless,,N,0
1000128,401,709,1.691,2,8,2,-1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000129,546,94,0.843,1,8,2,2,-1,1,N,B,A7,L,0,1,2,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,0
1000130,386,144,0.311,2,8,2,2,-1,0,N,U,A7,W,7,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000131,464,78,0.083,1,8,1,1,1,1,N,B,A7,L,0,2,3,Pacific Bell - Nevada Bell,AT&T,Wireline,3,,0
1000132,387,143,0.359,2,8,1,-1,-1,-2,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000133,440,500,2.339,2,8,1,-1,1,0,Y,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,Y,0
1000134,480,91,1.014,1,8,1,1,2,1,N,U,A7,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000135,552,74,0.433,7,3,-1,2,-1,1,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000136,483,500,2.007,2,5,2,1,2,-2,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000137,582,166,0.253,2,8,2,-1,2,0,N,U,A7,W,0,4,5,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000138,591,500,3.924,8,8,0,0,0,0,N,U,A6,W,7,3,5,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000139,493,500,2.408,2,8,1,1,-1,-2,N,U,A7,W,0,1,3,Cingular Wireless,AT&T,Wireless,,N,0
1000140,416,139,2.099,5,6,2,-2,-2,-1,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000141,414,500,0.888,2,5,2,-2,-1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000142,350,904,2.015,5,8,2,-2,-2,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000143,334,121,0.512,2,8,2,-1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000144,538,248,1.151,5,7,1,-1,-1,0,N,U,A7,L,0,2,4,Broadview Networks,Windstream,Wireline,3,,0
1000145,340,243,0.366,5,8,2,2,-2,0,Y,U,A1,W,7,1,2,Metro PCS -Royal St. Comm - NSR,T-Mobile,Wireless,,N,0
1000146,430,904,3.972,7,5,-1,-1,2,0,N,U,A7,W,7,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000147,338,231,0.325,5,7,2,2,-1,-2,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000148,534,904,10.496,7,5,-1,2,-1,0,N,U,A4,L,0,0,2,Neutral Tandem - NSR,Onvoy,Wireline,1,,0
1000149,291,500,0.926,2,8,2,-1,-1,0,N,U,A7,W,0,2,3,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000150,407,187,0.314,2,8,2,-1,2,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000151,744,165,5.787,2,4,-1,-1,-1,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000152,465,500,3.03,7,8,0,0,-1,0,N,U,A7,W,7,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000153,601,77,6.4,2,6,2,-1,2,-1,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000154,374,206,1.171,5,8,2,1,-2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000155,777,90,42.62,6,5,-1,2,-2,-1,N,U,A7,L,0,2,4,BANDWIDTH.COM,Bandwidth.com,Wireline,1,,1
1000156,490,501,2.003,7,4,0,0,-1,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000157,418,82,0.279,7,5,-1,2,2,0,N,U,A7,W,0,2,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000158,369,248,0.362,2,5,2,-1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000159,364,94,0.598,2,8,1,-1,2,0,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000160,395,500,0.977,7,5,-1,-1,-1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000161,500,295,1.294,5,7,2,2,-1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000162,456,143,1.357,2,8,2,-1,-1,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000163,507,248,2.849,5,2,2,2,-1,0,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000164,442,500,5.602,2,8,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000165,531,88,1.722,2,6,2,-1,2,-1,N,U,A7,W,0,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000166,679,500,27.162,8,8,0,0,-2,0,N,U,A2,L,0,0,1,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,0
1000167,451,904,4.629,2,8,2,1,-1,-2,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000168,435,248,0.786,2,8,2,2,1,0,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000169,334,500,1.056,2,8,2,1,2,0,N,U,A7,W,0,2,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000170,464,500,3.008,2,8,2,1,1,0,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000171,406,238,1.171,5,2,2,1,-1,0,N,U,A7,W,0,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000172,357,NA,0.261,1,8,2,2,2,-1,N,U,A7,W,0,2,3,Cingular Wireless,AT&T,Wireless,,N,0
1000173,338,139,0.551,7,5,-1,1,-1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000174,394,500,1.786,5,7,2,1,-1,0,N,U,A7,W,0,1,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000175,405,904,2.734,2,8,2,1,2,-2,N,U,A7,W,0,2,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000176,416,98,0.9,7,5,-1,-1,-1,0,N,U,A5,W,7,3,4,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000177,952,90,12.018,2,8,2,-1,2,0,N,B,U,L,0,4,5,Level 3-SVR,CenturyLink,Wireline,2,,0
1000178,405,248,0.499,5,2,2,-2,-1,0,N,U,A7,W,0,3,4,Sprint PCS,Sprint Nextel,Wireless,,N,0
1000179,435,50,2.071,2,8,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000180,411,240,1.007,2,8,1,1,1,0,N,U,A7,W,7,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000181,461,244,1.858,2,8,2,2,1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000182,485,80,0.834,2,8,2,1,2,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000183,440,86,0.212,7,3,-1,2,-1,1,N,B,A7,L,0,3,4,Pacific Bell - Nevada Bell,AT&T,Wireline,3,,0
1000184,497,500,3.299,2,5,1,1,1,-2,N,U,A7,W,0,3,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000185,483,96,0.385,2,6,2,-1,1,-1,N,B,I1,L,0,1,2,BANDWIDTH.COM,Bandwidth.com,Wireline,2,,0
1000186,505,74,3.048,3,5,2,-1,-2,-1,N,U,A7,W,7,2,3,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000187,400,210,0.502,2,5,2,-2,1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000188,473,500,2.168,2,8,2,-2,1,0,N,U,A7,W,0,2,4,Cingular Wireless,AT&T,Wireless,,N,0
1000189,471,461,1.723,7,5,-1,-1,-1,-2,N,U,A4,L,0,1,2,BANDWIDTH.COM,Bandwidth.com,Wireline,1,,0
1000190,457,167,0.763,2,6,2,2,1,-1,N,B,A7,L,0,1,3,BANDWIDTH.COM,Bandwidth.com,Wireline,1,,0
1000191,593,500,2.846,2,6,2,-1,-1,0,N,B,A7,L,0,2,4,Level 3-SVR,CenturyLink,Wireline,2,,0
1000192,406,500,1.126,5,7,2,-1,-1,-2,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000193,673,500,8.682,8,5,-1,-1,-1,-2,N,U,A7,W,0,3,3,T-Mobile US-TSI,T-Mobile,Wireless,,N,0
1000194,388,904,2.915,5,7,2,-1,-1,0,N,U,A7,W,0,3,4,Cingular Wireless,AT&T,Wireless,,N,0
1000195,531,216,1.637,2,5,2,1,-1,0,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
1000196,468,500,3.479,5,7,2,-2,-1,0,N,U,A7,W,0,2,2,Cingular Wireless,AT&T,Wireless,,N,0
1000197,400,50,0.71,1,8,2,1,2,-1,N,U,A7,W,0,3,4,Verizon Wireless - SVR,Verizon,Wireless,,N,0
